EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,DEPARTMENT_ID,DEPARTMENT_NAME
183,Girard,Geoni,GGEONI,650.507.9879,2/3/2000,SH_CLERK,2800,,50,Shipping
184,Nandita,Sarchand,NSARCHAN,650.509.1876,1/27/1996,SH_CLERK,4200,,50,Shipping
185,Alexis,Bull,ABULL,650.509.2876,2/20/1997,SH_CLERK,4100,,50,Shipping
186,Julia,Dellinger,JDELLING,650.509.3876,6/24/1998,SH_CLERK,3400,,50,Shipping
187,Anthony,Cabrio,ACABRIO,650.509.4876,2/7/1999,SH_CLERK,3000,,50,Shipping
188,Kelly,Chung,KCHUNG,650.505.1876,6/14/1997,SH_CLERK,3800,,50,Shipping
189,Jennifer,Dilly,JDILLY,650.505.2876,8/13/1997,SH_CLERK,3600,,50,Shipping
190,Timothy,Gates,TGATES,650.505.3876,7/11/1998,SH_CLERK,2900,,50,Shipping
191,Randall,Perkins,RPERKINS,650.505.4876,12/19/1999,SH_CLERK,2500,,50,Shipping
192,Sarah,Bell,SBELL,650.501.1876,2/4/1996,SH_CLERK,4000,,50,Shipping
193,Britney,Everett,BEVERETT,650.501.2876,3/3/1997,SH_CLERK,3900,,50,Shipping
194,Samuel,McCain,SMCCAIN,650.501.3876,7/1/1998,SH_CLERK,3200,,50,Shipping
195,Vance,Jones,VJONES,650.501.4876,3/17/1999,SH_CLERK,2800,,50,Shipping
196,Alana,Walsh,AWALSH,650.507.9811,4/24/1998,SH_CLERK,3100,,50,Shipping
197,Kevin,Feeney,KFEENEY,650.507.9822,5/23/1998,SH_CLERK,3000,,50,Shipping
198,Donald,OConnell,DOCONNEL,650.507.9833,6/21/1999,SH_CLERK,2600,,50,Shipping
199,Douglas,Grant,DGRANT,650.507.9844,1/13/2000,SH_CLERK,2600,,50,Shipping
200,Jennifer,Whalen,JWHALEN,515.123.4444,9/17/1987,AD_ASST,4400,,10,Administration
201,Michael,Hartstein,MHARTSTE,515.123.5555,2/17/1996,MK_MAN,13000,,20,Marketing
202,Pat,Fay,PFAY,603.123.6666,8/17/1997,MK_REP,6000,,20,Marketing
203,Susan,Mavris,SMAVRIS,515.123.7777,6/7/1994,HR_REP,6500,,40,Human Resources
204,Hermann,Baer,HBAER,515.123.8888,6/7/1994,PR_REP,10000,,70,Public Relations
205,Shelley,Higgins,SHIGGINS,515.123.8080,6/7/1994,AC_MGR,12000,,110,Accounting
206,William,Gietz,WGIETZ,515.123.8181,6/7/1994,AC_ACCOUNT,8300,,110,Accounting
